,card_company,region,type_of_business,amount
1810,a,경남 창원시,한식 음식점업,4285.714285714285
1811,a,경남 창원시,한식 음식점업,8428.57142857143
1812,c,경남 창원시,서양식 음식점업,5428.571428571428
1813,c,경남 창원시,두발 미용업,2857.142857142857
1814,b,경남 창원시,두발 미용업,2428.5714285714284
1815,a,경남 창원시,서양식 음식점업,33000.0
1816,a,경남 창원시,한식 음식점업,6000.0
1817,d,경남 창원시,한식 음식점업,5285.714285714285
1818,c,경남 창원시,기타 주점업,3571.428571428572
1819,g,경남 창원시,두발 미용업,5714.285714285716
1820,a,경남 창원시,기타 주점업,5357.142857142857
1821,a,경남 창원시,기타 주점업,2428.5714285714284
1822,a,경남 창원시,한식 음식점업,7571.428571428572
1823,b,경남 창원시,한식 음식점업,4857.142857142857
1824,a,경남 창원시,기타 주점업,3357.142857142857
1825,d,경남 창원시,한식 음식점업,1714.2857142857142
1826,a,경남 창원시,서양식 음식점업,9428.57142857143
1827,a,경남 창원시,기타 주점업,5557.142857142857
1828,a,경남 창원시,서양식 음식점업,8428.57142857143
1829,a,경남 창원시,기타 주점업,5500.0
1830,g,경남 창원시,한식 음식점업,3571.428571428572
1831,e,경남 창원시,기타 주점업,3928.571428571429
1832,c,경남 창원시,기타 주점업,4571.428571428572
1833,a,경남 창원시,"섬유, 직물 및 의복액세서리 소매업",6428.571428571428
1834,b,경남 창원시,한식 음식점업,1714.2857142857142
1835,d,경남 창원시,한식 음식점업,1714.2857142857142
1836,f,경남 창원시,두발 미용업,8571.42857142857
1837,b,경남 창원시,서양식 음식점업,9571.42857142857
1838,d,경남 창원시,기타 주점업,2642.857142857143
1839,a,경남 창원시,한식 음식점업,5285.714285714285
1840,b,경남 창원시,의복 소매업,36428.57142857143
1841,c,경남 창원시,서양식 음식점업,8142.857142857143
1842,c,경남 창원시,한식 음식점업,11000.0
1843,d,경남 창원시,기타 주점업,3857.142857142857
1844,d,경남 창원시,기타 주점업,6485.714285714284
1845,e,경남 창원시,한식 음식점업,5714.285714285716
1846,c,경남 창원시,한식 음식점업,1714.2857142857142
1847,e,경남 창원시,서양식 음식점업,8857.142857142857
1848,a,경남 창원시,두발 미용업,10000.0
1849,a,경남 창원시,한식 음식점업,4571.428571428572
1850,a,경남 창원시,두발 미용업,2857.142857142857
1851,h,경남 창원시,두발 미용업,28571.42857142857
1852,h,경남 창원시,한식 음식점업,3428.5714285714284
1853,a,경남 창원시,서양식 음식점업,19000.0
1854,a,경남 창원시,기타 주점업,6042.857142857143
1855,a,경남 창원시,기타 주점업,2000.0
1856,e,경남 창원시,서양식 음식점업,8428.57142857143
1857,c,경남 창원시,두발 미용업,3571.428571428572
1858,a,경남 창원시,기타 주점업,3928.571428571429
1859,c,경남 창원시,한식 음식점업,2285.714285714286
1860,d,경남 창원시,두발 미용업,5714.285714285716
1861,h,경남 창원시,"섬유, 직물 및 의복액세서리 소매업",17142.85714285714
1862,d,경남 창원시,한식 음식점업,7428.571428571428
1863,e,경남 창원시,기타 주점업,5357.142857142857
1864,b,경남 창원시,기타 주점업,3500.0
1865,a,경남 창원시,기타 주점업,3428.5714285714284
1866,e,경남 창원시,"섬유, 직물 및 의복액세서리 소매업",68571.42857142858
1867,a,경남 창원시,한식 음식점업,1714.2857142857142
1868,f,경남 창원시,두발 미용업,12857.142857142857
1869,a,경남 창원시,서양식 음식점업,19285.714285714286
1870,b,경남 창원시,한식 음식점업,857.1428571428571
1871,f,경남 창원시,한식 음식점업,19285.714285714286
1872,e,경남 창원시,두발 미용업,14285.714285714286
1873,a,경남 창원시,한식 음식점업,13857.142857142857
1874,h,경남 창원시,"섬유, 직물 및 의복액세서리 소매업",8571.42857142857
1875,c,경남 창원시,한식 음식점업,7571.428571428572
1876,f,경남 창원시,두발 미용업,5000.0
1877,d,경남 창원시,기타 주점업,2214.285714285714
1878,d,경남 창원시,한식 음식점업,4285.714285714285
1879,b,경남 창원시,기타 주점업,4042.857142857143
1880,d,경남 창원시,기타 주점업,12571.428571428569
1881,c,경남 창원시,기타 주점업,3100.0
1882,b,경남 창원시,한식 음식점업,857.1428571428571
1883,a,경남 창원시,한식 음식점업,14857.142857142857
1884,b,경남 창원시,기타 주점업,4642.857142857143
1885,d,경남 창원시,기타 주점업,2428.5714285714284
1886,a,경남 창원시,서양식 음식점업,7857.142857142857
1887,c,경남 창원시,한식 음식점업,13714.285714285714
1888,d,경남 창원시,서양식 음식점업,14571.428571428569
1889,b,경남 창원시,기타 주점업,3571.428571428572
1890,c,경남 창원시,의복 소매업,20000.0
1891,a,경남 창원시,두발 미용업,1428.571428571429
1892,c,경남 창원시,의복 소매업,42857.142857142855
1893,d,경남 창원시,기타 주점업,3714.285714285714
1894,b,경남 창원시,기타 주점업,2285.714285714286
1895,b,경남 창원시,한식 음식점업,4285.714285714285
1896,a,경남 창원시,한식 음식점업,1714.2857142857142
1897,a,경남 창원시,한식 음식점업,2571.428571428572
1898,a,경남 창원시,한식 음식점업,7714.285714285716
1899,h,경남 창원시,한식 음식점업,8571.42857142857
1900,a,경남 창원시,한식 음식점업,1714.2857142857142
1901,a,경남 창원시,한식 음식점업,40000.0
1902,a,경남 창원시,기타 주점업,3714.285714285714
1903,c,경남 창원시,기타 주점업,5142.857142857143
1904,a,경남 창원시,"섬유, 직물 및 의복액세서리 소매업",5714.285714285716
1905,d,경남 창원시,한식 음식점업,8000.0
1906,d,경남 창원시,한식 음식점업,2857.142857142857
1907,a,경남 창원시,한식 음식점업,1000.0
1908,a,경남 창원시,기타 주점업,2357.142857142857
1909,f,경남 창원시,한식 음식점업,7285.714285714284
1910,a,경남 창원시,기타 주점업,3571.428571428572
1911,c,경남 창원시,한식 음식점업,7714.285714285716
1912,a,경남 창원시,기타 주점업,5214.285714285715
1913,d,경남 창원시,기타 주점업,1500.0
1914,h,경남 창원시,두발 미용업,2857.142857142857
1915,h,경남 창원시,한식 음식점업,4285.714285714285
1916,h,경남 창원시,서양식 음식점업,7285.714285714284
1917,c,경남 창원시,기타 주점업,5142.857142857143
1918,e,경남 창원시,두발 미용업,7857.142857142857
1919,b,경남 창원시,두발 미용업,5714.285714285716
1920,c,경남 창원시,두발 미용업,5285.714285714285
1921,a,경남 창원시,한식 음식점업,15285.714285714286
1922,a,경남 창원시,한식 음식점업,12142.857142857143
1923,a,경남 창원시,기타 주점업,2057.1428571428573
1924,b,경남 창원시,한식 음식점업,6285.714285714284
1925,e,경남 창원시,두발 미용업,7142.857142857143
1926,c,경남 창원시,기타 주점업,3628.571428571429
1927,h,경남 창원시,두발 미용업,18571.428571428565
1928,a,경남 창원시,한식 음식점업,3000.0
1929,h,경남 창원시,한식 음식점업,7000.0
1930,a,경남 창원시,기타 주점업,6000.0
1931,g,경남 창원시,서양식 음식점업,4214.285714285715
1932,b,경남 창원시,한식 음식점업,1714.2857142857142
1933,a,경남 창원시,한식 음식점업,6000.0
1934,a,경남 창원시,기타 주점업,3714.285714285714
1935,h,경남 창원시,한식 음식점업,8571.42857142857
1936,d,경남 창원시,의복 소매업,2857.142857142857
1937,d,경남 창원시,한식 음식점업,13714.285714285714
1938,a,경남 창원시,기타 주점업,4400.0
1939,a,경남 창원시,한식 음식점업,6142.857142857143
1940,h,경남 창원시,두발 미용업,8571.42857142857
1941,f,경남 창원시,한식 음식점업,5285.714285714285
1942,h,경남 창원시,"섬유, 직물 및 의복액세서리 소매업",24285.714285714286
1943,a,경남 창원시,의복 소매업,71428.57142857142
1944,d,경남 창원시,기타 주점업,4785.714285714285
1945,e,경남 창원시,한식 음식점업,5285.714285714285
1946,a,경남 창원시,한식 음식점업,9571.42857142857
1947,d,경남 창원시,한식 음식점업,1000.0
1948,a,경남 창원시,기타 주점업,2214.285714285714
1949,h,경남 창원시,두발 미용업,2142.8571428571427
1950,a,경남 창원시,한식 음식점업,2571.428571428572
1951,d,경남 창원시,기타 주점업,1857.142857142857
1952,c,경남 창원시,두발 미용업,20000.0
1953,c,경남 창원시,한식 음식점업,24285.714285714286
1954,c,경남 창원시,기타 주점업,4428.571428571428
1955,a,경남 창원시,기타 주점업,3071.428571428572
1956,d,경남 창원시,한식 음식점업,9785.714285714286
1957,b,경남 창원시,한식 음식점업,6000.0
1958,c,경남 창원시,두발 미용업,8571.42857142857
1959,d,경남 창원시,두발 미용업,12857.142857142857
1960,b,경남 창원시,기타 주점업,2142.8571428571427
1961,c,경남 창원시,두발 미용업,41000.0
1962,a,경남 창원시,한식 음식점업,10142.857142857143
1963,g,경남 창원시,한식 음식점업,3428.5714285714284
1964,a,경남 창원시,서양식 음식점업,6285.714285714284
1965,a,경남 창원시,한식 음식점업,9857.142857142857
1966,b,경남 창원시,서양식 음식점업,9000.0
1967,e,경남 창원시,두발 미용업,2857.142857142857
1968,h,경남 창원시,기타 주점업,4428.571428571428
1969,g,경남 창원시,한식 음식점업,4428.571428571428
1970,a,경남 창원시,한식 음식점업,4142.857142857143
1971,e,경남 창원시,두발 미용업,7142.857142857143
1972,a,경남 창원시,한식 음식점업,1714.2857142857142
1973,a,경남 창원시,기타 주점업,1714.2857142857142
1974,a,경남 창원시,한식 음식점업,5285.714285714285
1975,c,경남 창원시,기타 주점업,3757.142857142857
1976,b,경남 창원시,두발 미용업,4285.714285714285
1977,c,경남 창원시,한식 음식점업,12000.0
1978,a,경남 창원시,서양식 음식점업,4285.714285714285
1979,a,경남 창원시,기타 주점업,3571.428571428572
1980,c,경남 창원시,기타 주점업,6557.142857142857
1981,a,경남 창원시,한식 음식점업,4714.285714285715
1982,a,경남 창원시,기타 주점업,4771.428571428572
1983,c,경남 창원시,기타 주점업,4785.714285714285
1984,f,경남 창원시,한식 음식점업,3800.0
1985,c,경남 창원시,기타 주점업,4571.428571428572
1986,a,경남 창원시,두발 미용업,2142.8571428571427
1987,f,경남 창원시,기타 주점업,4000.0
1988,a,경남 창원시,기타 주점업,17714.285714285714
1989,a,경남 창원시,기타 주점업,4357.142857142857
1990,a,경남 창원시,한식 음식점업,6785.714285714284
1991,e,경남 창원시,한식 음식점업,3142.857142857143
1992,a,경남 창원시,서양식 음식점업,6000.0
1993,d,경남 창원시,한식 음식점업,1571.428571428571
1994,c,경남 창원시,서양식 음식점업,14571.428571428569
1995,b,경남 창원시,한식 음식점업,7428.571428571428
1996,a,경남 창원시,한식 음식점업,4714.285714285715
1997,g,경남 창원시,두발 미용업,2142.8571428571427
1998,h,경남 창원시,기타 주점업,9985.714285714286
1999,h,경남 창원시,두발 미용업,2857.142857142857
2000,a,경남 창원시,한식 음식점업,7857.142857142857
2001,h,경남 창원시,한식 음식점업,5571.428571428572
2002,d,경남 창원시,한식 음식점업,14785.714285714286
2003,a,경남 창원시,한식 음식점업,8142.857142857143
2004,a,경남 창원시,한식 음식점업,3428.5714285714284
2005,b,경남 창원시,한식 음식점업,857.1428571428571
2006,a,경남 창원시,한식 음식점업,11428.571428571431
2007,c,경남 창원시,기타 주점업,4357.142857142857
2008,f,경남 창원시,기타 주점업,10285.714285714286
2009,b,경남 창원시,두발 미용업,18571.428571428565
2010,a,경남 창원시,한식 음식점업,8000.0
2011,f,경남 창원시,서양식 음식점업,5714.285714285716
2012,a,경남 창원시,두발 미용업,12857.142857142857
2013,g,경남 창원시,기타 주점업,7642.857142857143
2014,d,경남 창원시,서양식 음식점업,14142.857142857143
2015,a,경남 창원시,기타 주점업,8428.57142857143
2016,e,경남 창원시,서양식 음식점업,5714.285714285716
2017,h,경남 창원시,기타 주점업,3000.0
2018,a,경남 창원시,기타 주점업,5785.714285714284
2019,a,경남 창원시,한식 음식점업,1714.2857142857142
2020,f,경남 창원시,기타 주점업,2571.428571428572
2021,c,경남 창원시,한식 음식점업,4285.714285714285
2022,d,경남 창원시,한식 음식점업,7571.428571428572
2023,a,경남 창원시,"섬유, 직물 및 의복액세서리 소매업",12142.857142857143
2024,f,경남 창원시,두발 미용업,18571.428571428565
2025,d,경남 창원시,한식 음식점업,7000.0
2026,c,경남 창원시,기타 주점업,2142.8571428571427
2027,a,경남 창원시,기타 주점업,1285.7142857142858
2028,g,경남 창원시,한식 음식점업,4571.428571428572
2029,b,경남 창원시,한식 음식점업,1857.142857142857
2030,g,경남 창원시,기타 주점업,1214.2857142857142
2031,g,경남 창원시,기타 주점업,4457.142857142857
2032,c,경남 창원시,한식 음식점업,2285.714285714286
2033,a,경남 창원시,한식 음식점업,3000.0
2034,b,경남 창원시,기타 주점업,2285.714285714286
2035,g,경남 창원시,한식 음식점업,-2571.428571428572
2036,g,경남 창원시,두발 미용업,2857.142857142857
2037,h,경남 창원시,두발 미용업,4285.714285714285
2038,b,경남 창원시,두발 미용업,5714.285714285716
2039,d,경남 창원시,기타 주점업,1357.142857142857
2040,c,경남 창원시,한식 음식점업,20142.85714285714
2041,b,경남 창원시,한식 음식점업,11285.714285714286
2042,b,경남 창원시,두발 미용업,5714.285714285716
2043,c,경남 창원시,두발 미용업,11428.571428571431
2044,b,경남 창원시,한식 음식점업,857.1428571428571
2045,c,경남 창원시,기타 주점업,2614.285714285714
2046,h,경남 창원시,한식 음식점업,2571.428571428572
2047,d,경남 창원시,서양식 음식점업,9714.285714285714
2048,f,경남 창원시,한식 음식점업,1800.0
2049,d,경남 창원시,기타 주점업,2071.428571428572
2050,h,경남 창원시,기타 주점업,5428.571428571428
2051,a,경남 창원시,한식 음식점업,9714.285714285714
2052,a,경남 창원시,한식 음식점업,7857.142857142857
2053,c,경남 창원시,두발 미용업,18571.428571428565
2054,a,경남 창원시,기타 주점업,6357.142857142857
2055,e,경남 창원시,한식 음식점업,12571.428571428569
2056,b,경남 창원시,기타 주점업,-4500.0
2057,a,경남 창원시,한식 음식점업,5285.714285714285
2058,a,경남 창원시,한식 음식점업,5285.714285714285
2059,g,경남 창원시,한식 음식점업,18571.428571428565
2060,d,경남 창원시,두발 미용업,1142.857142857143
2061,e,경남 창원시,기타 주점업,3571.428571428572
2062,d,경남 창원시,기타 주점업,3700.0
2063,c,경남 창원시,한식 음식점업,3000.0
2064,a,경남 창원시,한식 음식점업,4000.0
2065,a,경남 창원시,기타 주점업,1571.428571428571
2066,e,경남 창원시,한식 음식점업,5285.714285714285
2067,a,경남 창원시,서양식 음식점업,22857.142857142862
2068,a,경남 창원시,기타 주점업,4142.857142857143
2069,a,경남 창원시,한식 음식점업,5285.714285714285
2070,f,경남 창원시,두발 미용업,22857.142857142862
2071,a,경남 창원시,기타 주점업,2285.714285714286
2072,d,경남 창원시,기타 주점업,8428.57142857143
2073,a,경남 창원시,기타 주점업,8857.142857142857
2074,c,경남 창원시,기타 주점업,3714.285714285714
2075,a,경남 창원시,기타 주점업,25642.857142857138
2076,e,경남 창원시,한식 음식점업,81428.57142857142
2077,b,경남 창원시,기타 주점업,2285.714285714286
2078,b,경남 창원시,한식 음식점업,7857.142857142857
2079,g,경남 창원시,기타 주점업,2571.428571428572
2080,f,경남 창원시,한식 음식점업,4357.142857142857
2081,g,경남 창원시,기타 주점업,31571.42857142857
2082,g,경남 창원시,기타 주점업,7557.142857142857
2083,h,경남 창원시,기타 주점업,5428.571428571428
2084,d,경남 창원시,한식 음식점업,9142.857142857143
2085,b,경남 창원시,한식 음식점업,2285.714285714286
2086,a,경남 창원시,한식 음식점업,1714.2857142857142
2087,f,경남 창원시,한식 음식점업,7428.571428571428
2088,h,경남 창원시,두발 미용업,28571.42857142857
2089,b,경남 창원시,한식 음식점업,3142.857142857143
2090,d,경남 창원시,기타 주점업,6785.714285714284
2091,a,경남 창원시,한식 음식점업,1714.2857142857142
2092,h,경남 창원시,한식 음식점업,13571.428571428569
2093,d,경남 창원시,기타 주점업,3571.428571428572
2094,b,경남 창원시,기타 주점업,2571.428571428572
2095,d,경남 창원시,기타 주점업,7071.428571428572
2096,f,경남 창원시,한식 음식점업,1714.2857142857142
2097,d,경남 창원시,기타 주점업,3214.285714285714
2098,h,경남 창원시,한식 음식점업,1714.2857142857142
2099,c,경남 창원시,서양식 음식점업,571.4285714285714
2100,h,경남 창원시,두발 미용업,11428.571428571431
2101,d,경남 창원시,한식 음식점업,5714.285714285716
2102,a,경남 창원시,기타 주점업,4500.0
2103,c,경남 창원시,기타 주점업,2714.285714285714
2104,h,경남 창원시,두발 미용업,11428.571428571431
2105,g,경남 창원시,한식 음식점업,9142.857142857143
2106,f,경남 창원시,두발 미용업,5714.285714285716
2107,b,경남 창원시,"섬유, 직물 및 의복액세서리 소매업",28571.42857142857
2108,d,경남 창원시,한식 음식점업,6857.142857142857
2109,a,경남 창원시,기타 주점업,2285.714285714286
2110,b,경남 창원시,한식 음식점업,4714.285714285715
2111,a,경남 창원시,기타 주점업,4142.857142857143
2112,e,경남 창원시,기타 주점업,3785.714285714286
2113,g,경남 창원시,두발 미용업,2142.8571428571427
2114,d,경남 창원시,한식 음식점업,2571.428571428572
2115,a,경남 창원시,기타 주점업,3142.857142857143
2116,a,경남 창원시,한식 음식점업,5142.857142857143
2117,c,경남 창원시,한식 음식점업,10571.42857142857
2118,d,경남 창원시,기타 주점업,1714.2857142857142
2119,c,경남 창원시,두발 미용업,2142.8571428571427
2120,g,경남 창원시,한식 음식점업,-23571.42857142857
2121,a,경남 창원시,한식 음식점업,4571.428571428572
2122,h,경남 창원시,서양식 음식점업,6000.0
2123,e,경남 창원시,기타 주점업,12571.428571428569
2124,a,경남 창원시,"섬유, 직물 및 의복액세서리 소매업",67857.14285714286
2125,c,경남 창원시,기타 주점업,4142.857142857143
2126,f,경남 창원시,한식 음식점업,4285.714285714285
2127,c,경남 창원시,기타 주점업,8285.714285714286
2128,a,경남 창원시,한식 음식점업,6000.0
2129,c,경남 창원시,기타 주점업,1500.0
2130,a,경남 창원시,기타 주점업,4671.428571428572
2131,a,경남 창원시,한식 음식점업,13000.0
2132,a,경남 창원시,기타 주점업,5442.857142857143
2133,f,경남 창원시,두발 미용업,5714.285714285716
2134,b,경남 창원시,기타 주점업,19571.428571428565
2135,d,경남 창원시,기타 주점업,2571.428571428572
2136,d,경남 창원시,한식 음식점업,1714.2857142857142
2137,d,경남 창원시,두발 미용업,2857.142857142857
2138,g,경남 창원시,기타 주점업,2914.285714285714
2139,f,경남 창원시,두발 미용업,18571.428571428565
2140,a,경남 창원시,기타 주점업,2142.8571428571427
2141,a,경남 창원시,한식 음식점업,5857.142857142857
2142,c,경남 창원시,한식 음식점업,6714.285714285716
2143,a,경남 창원시,한식 음식점업,1714.2857142857142
2144,a,경남 창원시,기타 주점업,3071.428571428572
2145,c,경남 창원시,두발 미용업,7142.857142857143
2146,f,경남 창원시,서양식 음식점업,6714.285714285716
2147,e,경남 창원시,한식 음식점업,857.1428571428571
2148,a,경남 창원시,기타 주점업,4285.714285714285
2149,a,경남 창원시,한식 음식점업,8142.857142857143
2150,d,경남 창원시,두발 미용업,5714.285714285716
2151,b,경남 창원시,한식 음식점업,8714.285714285714
2152,a,경남 창원시,기타 주점업,5285.714285714285
2153,c,경남 창원시,한식 음식점업,6714.285714285716
2154,d,경남 창원시,기타 주점업,5285.714285714285
2155,a,경남 창원시,두발 미용업,5000.0
2156,a,경남 창원시,한식 음식점업,1142.857142857143
2157,d,경남 창원시,한식 음식점업,9714.285714285714
2158,a,경남 창원시,한식 음식점업,9142.857142857143
2159,d,경남 창원시,한식 음식점업,7857.142857142857
2160,d,경남 창원시,한식 음식점업,5285.714285714285
2161,b,경남 창원시,기타 주점업,4928.571428571428
2162,f,경남 창원시,서양식 음식점업,9571.42857142857
2163,d,경남 창원시,한식 음식점업,1142.857142857143
2164,b,경남 창원시,두발 미용업,20000.0
2165,c,경남 창원시,두발 미용업,2142.8571428571427
2166,a,경남 창원시,기타 주점업,4642.857142857143
2167,f,경남 창원시,한식 음식점업,7142.857142857143
2168,a,경남 창원시,기타 주점업,2671.428571428572
2169,d,경남 창원시,한식 음식점업,7285.714285714284
2170,h,경남 창원시,두발 미용업,15714.285714285714
2171,b,경남 창원시,기타 주점업,2714.285714285714
2172,e,경남 창원시,한식 음식점업,5285.714285714285
2173,g,경남 창원시,한식 음식점업,6000.0
2174,a,경남 창원시,두발 미용업,5000.0
2175,c,경남 창원시,두발 미용업,17142.85714285714
2176,f,경남 창원시,기타 주점업,4357.142857142857
2177,b,경남 창원시,두발 미용업,17142.85714285714
2178,b,경남 창원시,기타 주점업,3500.0
2179,a,경남 창원시,서양식 음식점업,7571.428571428572
2180,a,경남 창원시,기타 주점업,11428.571428571431
2181,a,경남 창원시,한식 음식점업,8285.714285714286
2182,f,경남 창원시,기타 주점업,4571.428571428572
2183,e,경남 창원시,한식 음식점업,1714.2857142857142
2184,a,경남 창원시,두발 미용업,7857.142857142857
2185,f,경남 창원시,기타 주점업,4142.857142857143
2186,a,경남 창원시,두발 미용업,10714.285714285714
2187,b,경남 창원시,기타 주점업,4428.571428571428
2188,d,경남 창원시,서양식 음식점업,25714.28571428572
2189,a,경남 창원시,두발 미용업,12857.142857142857
2190,g,경남 창원시,기타 주점업,5428.571428571428
2191,c,경남 창원시,기타 주점업,2671.428571428572
2192,a,경남 창원시,한식 음식점업,12714.285714285714
2193,a,경남 창원시,기타 주점업,2500.0
2194,h,경남 창원시,한식 음식점업,11285.714285714286
2195,a,경남 창원시,한식 음식점업,8714.285714285714
2196,b,경남 창원시,기타 주점업,4271.428571428572
2197,g,경남 창원시,두발 미용업,7142.857142857143
2198,e,경남 창원시,"섬유, 직물 및 의복액세서리 소매업",62857.142857142855
2199,d,경남 창원시,한식 음식점업,3428.5714285714284
2200,f,경남 창원시,두발 미용업,8571.42857142857
2201,e,경남 창원시,기타 주점업,2214.285714285714
2202,h,경남 창원시,한식 음식점업,6714.285714285716
2203,b,경남 창원시,두발 미용업,5714.285714285716
2204,a,경남 창원시,두발 미용업,7142.857142857143
2205,d,경남 창원시,기타 주점업,2785.714285714286
2206,a,경남 창원시,두발 미용업,7142.857142857143
2207,e,경남 창원시,한식 음식점업,1714.2857142857142
2208,d,경남 창원시,한식 음식점업,1714.2857142857142
2209,a,경남 창원시,한식 음식점업,4571.428571428572
2210,c,경남 창원시,기타 주점업,15428.571428571431
2211,f,경남 창원시,한식 음식점업,8571.42857142857
2212,a,경남 창원시,한식 음식점업,5857.142857142857
2213,e,경남 창원시,한식 음식점업,3571.428571428572
2214,g,경남 창원시,기타 주점업,6957.142857142857
2215,b,경남 창원시,한식 음식점업,2857.142857142857
2216,b,경남 창원시,기타 주점업,7800.0
2217,a,경남 창원시,두발 미용업,5714.285714285716
2218,a,경남 창원시,두발 미용업,5714.285714285716
2219,c,경남 창원시,한식 음식점업,16285.714285714286
2220,a,경남 창원시,기타 주점업,4842.857142857143
2221,f,경남 창원시,한식 음식점업,8714.285714285714
2222,a,경남 창원시,기타 주점업,2428.5714285714284
2223,g,경남 창원시,두발 미용업,22857.142857142862
2224,a,경남 창원시,한식 음식점업,9571.42857142857
2225,g,경남 창원시,한식 음식점업,6000.0
2226,f,경남 창원시,한식 음식점업,6571.428571428572
2227,g,경남 창원시,기타 주점업,3571.428571428572
2228,d,경남 창원시,한식 음식점업,2700.0
2229,c,경남 창원시,한식 음식점업,1714.2857142857142
2230,a,경남 창원시,두발 미용업,17142.85714285714
2231,a,경남 창원시,한식 음식점업,2571.428571428572
2232,a,경남 창원시,한식 음식점업,4285.714285714285
2233,a,경남 창원시,서양식 음식점업,12857.142857142857
2234,a,경남 창원시,"섬유, 직물 및 의복액세서리 소매업",21428.571428571428
2235,d,경남 창원시,기타 주점업,4214.285714285715
2236,d,경남 창원시,한식 음식점업,3142.857142857143
2237,d,경남 창원시,두발 미용업,2142.8571428571427
2238,c,경남 창원시,한식 음식점업,1714.2857142857142
2239,a,경남 창원시,한식 음식점업,2571.428571428572
2240,c,경남 창원시,한식 음식점업,7571.428571428572
2241,e,경남 창원시,한식 음식점업,4285.714285714285
2242,a,경남 창원시,한식 음식점업,12714.285714285714
2243,a,경남 창원시,한식 음식점업,5285.714285714285
2244,d,경남 창원시,한식 음식점업,4714.285714285715
2245,d,경남 창원시,한식 음식점업,10142.857142857143
2246,d,경남 창원시,기타 주점업,3571.428571428572
2247,g,경남 창원시,한식 음식점업,7571.428571428572
2248,c,경남 창원시,서양식 음식점업,8571.42857142857
2249,d,경남 창원시,기타 주점업,2285.714285714286
2250,d,경남 창원시,한식 음식점업,6928.571428571428
2251,d,경남 창원시,두발 미용업,8571.42857142857
2252,g,경남 창원시,한식 음식점업,7428.571428571428
2253,e,경남 창원시,두발 미용업,5714.285714285716
2254,f,경남 창원시,기타 주점업,10571.42857142857
2255,a,경남 창원시,서양식 음식점업,8428.57142857143
2256,a,경남 창원시,두발 미용업,5714.285714285716
2257,f,경남 창원시,두발 미용업,17142.85714285714
2258,a,경남 창원시,기타 주점업,1928.571428571429
2259,g,경남 창원시,한식 음식점업,5428.571428571428
2260,c,경남 창원시,한식 음식점업,5714.285714285716
2261,a,경남 창원시,두발 미용업,7857.142857142857
2262,e,경남 창원시,한식 음식점업,5000.0
2263,e,경남 창원시,한식 음식점업,10285.714285714286
2264,d,경남 창원시,한식 음식점업,4714.285714285715
2265,h,경남 창원시,한식 음식점업,17857.14285714286
2266,h,경남 창원시,두발 미용업,18571.428571428565
2267,a,경남 창원시,기타 주점업,2071.428571428572
2268,f,경남 창원시,한식 음식점업,12000.0
2269,a,경남 창원시,기타 주점업,3857.142857142857
2270,a,경남 창원시,한식 음식점업,1714.2857142857142
2271,c,경남 창원시,한식 음식점업,10000.0
2272,d,경남 창원시,기타 주점업,4857.142857142857
2273,a,경남 창원시,한식 음식점업,1714.2857142857142
2274,e,경남 창원시,기타 주점업,5142.857142857143
2275,h,경남 창원시,"섬유, 직물 및 의복액세서리 소매업",95714.28571428572
2276,b,경남 창원시,기타 주점업,3414.285714285714
2277,b,경남 창원시,두발 미용업,28571.42857142857
2278,d,경남 창원시,두발 미용업,2142.8571428571427
2279,b,경남 창원시,한식 음식점업,857.1428571428571
2280,c,경남 창원시,한식 음식점업,8000.0
2281,d,경남 창원시,기타 주점업,2328.5714285714284
2282,h,경남 창원시,한식 음식점업,6650.0
2283,e,경남 창원시,기타 주점업,3657.142857142857
2284,g,경남 창원시,두발 미용업,2142.8571428571427
2285,a,경남 창원시,한식 음식점업,2571.428571428572
2286,c,경남 창원시,기타 주점업,1857.142857142857
2287,d,경남 창원시,한식 음식점업,4285.714285714285
2288,e,경남 창원시,기타 주점업,4571.428571428572
2289,d,경남 창원시,한식 음식점업,4142.857142857143
2290,a,경남 창원시,서양식 음식점업,1142.857142857143
2291,a,경남 창원시,한식 음식점업,17000.0
2292,e,경남 창원시,두발 미용업,32857.142857142855
2293,e,경남 창원시,기타 주점업,3714.285714285714
2294,e,경남 창원시,기타 주점업,10457.142857142857
2295,h,경남 창원시,두발 미용업,9714.285714285714
2296,b,경남 창원시,한식 음식점업,4714.285714285715
2297,d,경남 창원시,한식 음식점업,11142.857142857143
2298,d,경남 창원시,한식 음식점업,4714.285714285715
2299,d,경남 창원시,"섬유, 직물 및 의복액세서리 소매업",157142.85714285713
2300,d,경남 창원시,기타 주점업,1571.428571428571
2301,e,경남 창원시,두발 미용업,37142.857142857145
2302,b,경남 창원시,두발 미용업,2857.142857142857
2303,a,경남 창원시,기타 주점업,5714.285714285716
2304,b,경남 창원시,기타 주점업,2928.5714285714284
2305,g,경남 창원시,기타 주점업,3785.714285714286
2306,d,경남 창원시,한식 음식점업,5428.571428571428
2307,c,경남 창원시,두발 미용업,5714.285714285716
2308,b,경남 창원시,기타 주점업,20000.0
2309,a,경남 창원시,기타 주점업,7828.571428571428
2310,a,경남 창원시,한식 음식점업,4357.142857142857
2311,e,경남 창원시,한식 음식점업,11857.142857142857
2312,b,경남 창원시,한식 음식점업,4285.714285714285
2313,b,경남 창원시,의복 소매업,50000.0
2314,a,경남 창원시,한식 음식점업,4285.714285714285
